RET_FT4,C150_4,ADM_RATE,COMP_ORIG_YR4_RT,WOMENONLY
0.5403,0.2866,0.8965,0.210526315789,0
0.864,0.6117,0.806,0.461707585196,0
0.5,0.25,NA,0.162962962963,0
0.818,0.5714,0.7711,0.464680851064,0
0.6202,0.3177,0.9888,0.237909516381,0
0.8723,0.7214,0.8039,0.569689592209,0
NA,NA,NA,0.1647819063,0
NA,NA,NA,0.515715948778,0
0.6972,0.304,0.9555,0.24,0
0.9197,0.787,0.8507,0.634894459103,0
0.7952,0.7094,0.6045,0.620192307692,0
NA,NA,NA,0.137075718016,0
0.6,0.1429,NA,0.195733333333,0
NA,NA,NA,0.148377125193,0
NA,NA,NA,0.156862745098,0
0.6047,0.2711,0.7576,0.307692307692,0
NA,NA,NA,0.214659685864,0
NA,NA,NA,0.740740740741,0
NA,NA,NA,0.213219616205,0
NA,NA,NA,0.266936884771,0
NA,NA,NA,0.20652173913,0
1,0.2222,0.9153,0.316458791881,0
0.6992,0.4185,0.5439,0.534743202417,0
1,0.1429,0.6667,PrivacySuppressed,0
NA,NA,NA,0.056155507559,0
NA,NA,NA,PrivacySuppressed,0
0.7338,0.4551,0.6369,0.413108839447,0
NA,NA,NA,0.148483476686,0
NA,NA,NA,0.127135478745,0
0.6304,0.4756,0.5648,0.239361702128,0
NA,NA,NA,0.14453125,0
0.625,0.4011,0.9313,0.124324324324,0
NA,NA,NA,0.324723247232,0
NA,NA,0.575,0.402912621359,0
0.5526,0.2351,NA,0.053120849934,0
0.782,0.489,0.6657,0.390070921986,0
0.7842,0.5415,0.6052,0.48465266559,0
NA,NA,NA,0.075504828797,0
0.7733,0.4995,0.8266,0.459230769231,0
NA,NA,NA,0.234828496042,0
0.7425,0.5,0.8881,0.288372093023,0
NA,NA,NA,0.298578199052,0
NA,NA,NA,0.140472878999,0
0.8711,0.772,0.8399,0.662995594714,0
NA,NA,NA,0.138506163887,0
NA,NA,NA,0.26867335563,0
0.7644,0.4491,0.7303,0.381877022654,0
0.8116,0.5691,0.5416,PrivacySuppressed,0
0.5628,0.2151,0.5553,0.19,0
0.6456,0.3014,NA,0.207547169811,0
NA,NA,NA,0.060889929742,0
0.7707,0.5017,0.9243,0.214201183432,0
0.7703,0.5189,0.6113,0.415335463259,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.218668971478,0
0.6819,0.3012,0.7683,0.204608661104,0
0.6667,0.625,NA,PrivacySuppressed,0
0.7816,0.387,0.6701,0.227915194346,0
0.6333,0.1753,0.6352,0.1926910299,0
0.5556,0.5556,0.9065,0.469696969697,0
NA,NA,NA,PrivacySuppressed,0
NA,0.5169,NA,0.511102139685,0
NA,NA,NA,0.718498659517,0
NA,NA,NA,0.514991181658,0
NA,NA,NA,0.706374501992,0
NA,NA,NA,0.706374501992,0
NA,NA,NA,0.706374501992,0
NA,NA,NA,0.666666666667,0
NA,NA,NA,0.461119366023,0
0.6842,0.5031,NA,0.565592635213,0
0.862,0.6601,0.8837,0.497125501681,0
NA,NA,NA,0.101996527778,0
0.8547,0.6489,0.8513,0.494081475788,0
NA,NA,NA,0.111536358666,0
NA,NA,NA,0.659574468085,0
NA,NA,NA,0.248665955176,0
NA,NA,NA,0.519968051118,0
NA,NA,NA,0.634228187919,0
NA,NA,NA,0.180392156863,0
0.8218,0.5916,0.6685,0.394239702694,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.057338941776,0
0.7355,0.4657,0.8069,0.393330765421,0
NA,NA,NA,0.211700844391,0
NA,NA,NA,0.059120258273,0
NA,NA,NA,0.190965092402,0
NA,NA,NA,0.656543346218,0
0.5,0.2021,NA,0.088772845953,0
0.7626,0.5687,0.8164,0.51818596865,0
NA,NA,NA,0.094059405941,0
NA,NA,NA,0.379224030038,0
NA,NA,NA,0.098630989421,0
NA,NA,NA,0.174492515891,0
NA,0.6609,NA,0.692901909343,0
NA,NA,NA,0.692901909343,0
0.5882,0.4878,0.9842,0.230158730159,0
NA,NA,NA,0.644128113879,0
NA,NA,NA,0.036229833003,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.139936102236,0
NA,NA,NA,0.029801324503,0
0.4658,0.4379,0.7147,0.27037037037,0
NA,NA,NA,0.647974456196,0
NA,NA,NA,0.484820607176,0
NA,NA,NA,0.191535150646,0
0.7309,0.4169,0.5604,0.283056812469,0
NA,NA,NA,0.845864661654,0
0.4286,0.1246,NA,0.067092651757,0
NA,NA,NA,0.444444444444,0
NA,NA,NA,PrivacySuppressed,0
0.6879,0.4252,0.5015,0.093117408907,0
NA,NA,NA,0.421768707483,0
NA,NA,NA,0.604938271605,0
0.8471,0.685,0.7767,0.543859649123,0
0.7417,0.3892,0.5966,0.345661450925,0
NA,NA,NA,0.35138121547,0
0.7905,0.5301,0.6719,0.413223140496,0
0.6721,0.4422,0.9766,0.381415241058,0
0.7481,0.3561,NA,0.242512077295,0
NA,NA,NA,0.5,0
NA,NA,0.5,0.699658703072,0
NA,NA,NA,0.241312741313,0
0.7884,0.4573,0.9378,0.33139050791,0
0.5673,0.3846,0.4981,0.112068965517,0
NA,NA,NA,0.470948012232,0
0.7407,0.3871,NA,0.310810810811,0
NA,NA,NA,0.31778425656,0
NA,NA,NA,0.650623885918,0
NA,NA,NA,0.598484848485,0
NA,NA,NA,0.237971391417,0
NA,NA,NA,0.161202185792,0
0.8682,0.7152,0.5507,0.612698412698,0
0.6089,0.3411,0.749,0.299796747967,0
0.8204,0.655,0.7054,0.576576576577,0
NA,NA,NA,0.448275862069,0
NA,NA,NA,0.526315789474,0
0.8616,0.6447,0.5886,0.61662817552,0
NA,NA,NA,0.581560283688,0
NA,NA,NA,0.68253968254,0
NA,NA,NA,0.101736972705,0
NA,NA,NA,0.281690140845,0
NA,NA,NA,0.652173913043,0
NA,NA,NA,0.380487804878,0
NA,NA,NA,0.560810810811,0
0.8141,0.6048,0.6177,0.552469135802,0
NA,NA,NA,0.145658263305,0
NA,NA,NA,0.070224719101,0
0.6938,0.4737,0.559,0.4,0
NA,NA,1,0.272069464544,0
0.584,0.3364,NA,0.258426966292,0
NA,NA,NA,0.287128712871,0
NA,NA,NA,0.105691056911,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.177768696363,0
NA,NA,NA,0.03743315508,0
NA,NA,NA,0.268292682927,0
NA,NA,NA,0.739130434783,0
NA,NA,NA,0.448979591837,0
NA,NA,NA,0.113402061856,0
0.5253,0.378,0.693,0.428571428571,0
NA,NA,NA,0.243346007605,0
0.7151,0.4261,0.6853,0.405813953488,0
NA,NA,NA,0.437699680511,0
NA,NA,NA,PrivacySuppressed,0
0.7351,0.3108,NA,0.292652552927,0
0.7039,0.4688,NA,0.121688370004,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.079041916168,0
NA,NA,NA,0.073336825563,0
NA,NA,0.8939,0.71914893617,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.735849056604,0
NA,NA,NA,0.756665414946,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.056366047745,0
NA,0.2732,NA,0.107293868922,0
0.7799,0.7143,0.7609,0.560344827586,0
NA,NA,NA,0.496062992126,0
NA,NA,NA,0.472727272727,0
0.7616,0.6622,0.936,0.553795994411,0
NA,0.2127,NA,0.03084304318,0
NA,NA,NA,0.089238845144,0
NA,NA,NA,0.735537190083,0
0.4828,0.24,NA,0.146341463415,0
0.7816,0.714,0.6438,0.624349635796,0
NA,NA,NA,0.847682119205,0
0.8214,0.2516,NA,0.255039439089,0
NA,NA,NA,0.042331714087,0
NA,NA,NA,0.583333333333,0
NA,NA,NA,0.144963144963,0
0.7646,0.6195,0.8018,0.515646893975,0
0.7056,0.6703,0.8545,0.639405204461,0
NA,NA,NA,PrivacySuppressed,0
0.9362,0.9156,0.0669,PrivacySuppressed,0
0.7883,0.7086,0.7439,0.6918767507,0
0.9424,0.8309,0.3843,0.749815225425,0
NA,0.2,0.381,0.5,0
0.8259,0.4629,0.7838,0.215113782739,0
0.8658,0.5726,0.8932,0.534340659341,0
0.8475,0.5874,0.7812,0.55303381195,0
0.8704,0.674,0.6481,0.598230816704,0
0.835,0.6515,0.9017,0.615595826469,0
0.7804,0.4751,0.812,0.549201009251,0
0.8679,0.5754,0.9011,0.494423791822,0
0.8894,0.6868,0.6762,0.636264485344,0
0.7802,0.4675,0.7328,0.501832620648,0
0.8889,0.7333,0.4212,0.705767077268,0
0.8253,0.524,0.7648,0.527672359266,0
0.8348,0.5462,0.6581,0.557248487564,0
0.8412,0.5358,0.8309,0.543679490888,0
0.9614,0.9234,0.1748,0.755131610722,0
0.9301,0.8625,0.4635,0.763508512213,0
0.944,0.8498,0.2992,0.743400859423,0
0.9563,0.9129,0.1433,0.761155887557,0
0.9096,0.7729,0.6578,0.696579194002,0
0.9416,0.8712,0.3661,0.804895269475,0
NA,NA,NA,PrivacySuppressed,0
0.9083,0.8398,0.367,0.581941544885,0
0.8492,0.7555,0.6473,0.673563218391,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.725,0
0,NA,1,PrivacySuppressed,0
NA,NA,NA,NA,0
NA,NA,NA,0.782608695652,0
0.5962,0.6649,0.2742,0.632183908046,0
0.7684,0.6068,0.8249,0.582222222222,0
NA,NA,NA,PrivacySuppressed,0
NA,NA,NA,0.086956521739,0
