in.weekday_operating_hours,in.weekday_opening_time,in.weekend_operating_hours,in.weekend_opening_time,in.building_type,in.heating_fuel
6.75,10.25,8.75,6.75,SmallOffice,FuelOil
10,8.25,10,10,SmallOffice,NaturalGas
8.5,7.25,5.75,12.25,MediumOffice,NaturalGas
7.75,7.5,10.25,10,MediumOffice,NaturalGas
11,9,11.5,5.5,MediumOffice,NoHeating
8.25,7.5,8.5,9.75,SmallOffice,Electricity
11.75,9.25,10.75,12.25,SmallOffice,NaturalGas
8.25,7.5,9,10.5,SmallOffice,NaturalGas
8.25,8,8.25,9,MediumOffice,NoHeating
9.25,6.5,12.75,7,MediumOffice,NaturalGas
10.25,6.5,8.75,9.5,SmallOffice,NaturalGas
11,4.5,7.25,11.5,MediumOffice,NaturalGas
10.25,9.25,8.5,12,SmallOffice,NaturalGas
10,8.5,11.25,11.5,SmallOffice,Electricity
10.75,11.25,9,6.5,SmallOffice,NaturalGas
10.5,6.75,8.75,9.25,SmallOffice,NoHeating
15.25,6.5,13,10,SmallOffice,Electricity
12.5,4.75,11.25,8.25,LargeOffice,NaturalGas
13.25,9.5,12.5,9,SmallOffice,NaturalGas
8.5,6.5,17,6.25,SmallOffice,NaturalGas
9.5,11.75,8,10,SmallOffice,Electricity
7.25,9,12,11,SmallOffice,Electricity
5.75,9.5,7.25,12.25,SmallOffice,NaturalGas
8.25,6.5,7.75,12,SmallOffice,Electricity
9.25,8.75,6.25,3.75,LargeOffice,NaturalGas
6.5,9,8.25,10,SmallOffice,Electricity
7.25,9.5,14.75,8.5,SmallOffice,FuelOil
11,12.25,7.25,6.75,SmallOffice,NoHeating
7.25,8.5,10.75,9.25,MediumOffice,NaturalGas
6.5,9.5,11.25,8.75,SmallOffice,NaturalGas
8.5,8,8.75,9.75,SmallOffice,Electricity
10.25,7.75,11.5,10.25,SmallOffice,Electricity
10,6.75,7.75,11.75,SmallOffice,NaturalGas
12.75,5.25,6.75,10,SmallOffice,DistrictHeating
11.25,11.5,10.75,10.75,SmallOffice,Electricity
7,8.5,13.25,5,SmallOffice,NaturalGas
9.5,8.75,9,10.5,MediumOffice,NaturalGas
6.5,5.75,7.5,11.5,SmallOffice,NoHeating
11.75,8.75,9.25,10.75,SmallOffice,Propane
6.5,7.75,9,11.75,SmallOffice,NoHeating
6.5,8.25,6.25,11.5,SmallOffice,Electricity
7.5,8,10.75,7.5,SmallOffice,Electricity
10,7,10.5,9.5,SmallOffice,Electricity
10.75,4.5,11.5,7.75,SmallOffice,NaturalGas
11.75,11,7.5,9.75,SmallOffice,NaturalGas
10.25,7.75,6.75,8,SmallOffice,NaturalGas
13,7,18.75,4,MediumOffice,NaturalGas
8.25,8,11,11.5,SmallOffice,Electricity
8.5,6.25,8.25,10,SmallOffice,Electricity
6.75,9,6.5,9.5,SmallOffice,NaturalGas
9,10.25,9.75,11,SmallOffice,NaturalGas
7.75,8,8,8.25,SmallOffice,NaturalGas
10.5,5.25,9,11.25,SmallOffice,Electricity
7.75,5.25,7.25,10.75,SmallOffice,NaturalGas
7.75,8.5,6.5,9.25,SmallOffice,NaturalGas
6.75,9.5,12.75,10,SmallOffice,NaturalGas
15.75,4,7.25,12.25,SmallOffice,NaturalGas
6.5,10.5,11,8,SmallOffice,NoHeating
9.25,7,6,7,LargeOffice,NaturalGas
9.75,7.75,7,10.75,SmallOffice,NaturalGas
10.25,9,11,4.75,SmallOffice,Electricity
9,5,7.75,11.5,MediumOffice,Electricity
10.5,6.75,14,8,SmallOffice,Electricity
17,3.5,8,11.5,SmallOffice,Propane
7.25,11,8.5,9.5,SmallOffice,Electricity
8.25,11.5,18.25,4,MediumOffice,NaturalGas
12,5.5,12.5,5.25,LargeOffice,Propane
9.5,7.5,5.75,10.75,SmallOffice,NaturalGas
6,11,11.5,9.25,SmallOffice,NoHeating
9.5,8.25,7.75,5.25,SmallOffice,NoHeating
6.75,9,6.25,12.25,MediumOffice,NoHeating
10,5,16,4.25,LargeOffice,NaturalGas
8,9,11.5,10.75,SmallOffice,NaturalGas
16.5,4.75,15,7,SmallOffice,NoHeating
8.75,8.25,14,6,MediumOffice,NaturalGas
7.5,8.5,12.5,4.25,SmallOffice,DistrictHeating
9.75,8.75,14.5,5.25,SmallOffice,Electricity
10,5,10.5,10,SmallOffice,DistrictHeating
8.75,6.75,5.75,12,SmallOffice,NaturalGas
7.25,11,8.5,10.25,SmallOffice,NaturalGas
9.75,8,8.25,4.75,SmallOffice,Propane
7.5,10.25,8.75,11.75,SmallOffice,NaturalGas
10.25,10.5,16.5,6,SmallOffice,Electricity
10,8.25,13.75,6,SmallOffice,NaturalGas
12.75,3.75,7.75,8.75,SmallOffice,Electricity
9,10.25,8.25,10.25,SmallOffice,Electricity
15.75,6.75,16,7.5,SmallOffice,Electricity
9,7,12.25,8,SmallOffice,NoHeating
11.25,7.75,14.25,9,SmallOffice,Electricity
5.75,5.25,17.75,5.75,SmallOffice,NaturalGas
13.25,10.25,8.5,12.25,SmallOffice,NaturalGas
6,11.5,9.25,9.5,SmallOffice,Electricity
8,8.25,10.75,6.5,SmallOffice,NaturalGas
16,5.75,7.25,12,SmallOffice,NaturalGas
12.5,4.75,6.5,12,MediumOffice,Electricity
5.75,11.5,12.75,10.25,SmallOffice,NaturalGas
9,6.25,8.75,8.75,SmallOffice,NaturalGas
10.75,4.25,11,9.5,SmallOffice,FuelOil
9.25,8,13.25,4,LargeOffice,Electricity
10.5,12,7.75,10.25,SmallOffice,NaturalGas
6.75,7,8.5,9.25,SmallOffice,NaturalGas
13.5,6,11.25,7.75,SmallOffice,NaturalGas
8.5,9,12.75,7.75,SmallOffice,NaturalGas
9.25,6.5,7.25,11.5,SmallOffice,NaturalGas
10.5,8.25,6.5,10.5,SmallOffice,Electricity
9,7.5,13.5,8.75,SmallOffice,NoHeating
15.75,7,12.25,9.5,SmallOffice,NaturalGas
14.5,5.25,11.5,10.5,SmallOffice,NaturalGas
9.75,7.5,10.25,7.5,SmallOffice,NaturalGas
8,8.25,15.5,4.75,SmallOffice,Propane
8.75,6.5,7,9.5,MediumOffice,NoHeating
8.5,8,9.5,11.75,SmallOffice,NaturalGas
9.25,11.75,8,12,SmallOffice,Electricity
12.25,6.75,12.5,10,SmallOffice,NaturalGas
6.5,11.5,13.75,5.25,SmallOffice,NaturalGas
8.25,6.5,7,11.5,MediumOffice,NaturalGas
7.75,9.5,6.75,7.75,SmallOffice,NaturalGas
7,6,11.75,8.75,SmallOffice,Electricity
16.75,5.25,10.75,9.75,LargeOffice,NaturalGas
7,8.5,6.25,11.75,SmallOffice,Propane
6.25,12,12.75,5,SmallOffice,NoHeating
8,8,10.75,11.25,SmallOffice,Electricity
6.75,10.75,9.25,8.25,SmallOffice,Electricity
11.5,11.25,7.25,7,SmallOffice,NaturalGas
13.5,8,12.25,5,SmallOffice,NaturalGas
10.25,11.75,13,6.75,SmallOffice,NaturalGas
8.5,8.75,8.5,8,SmallOffice,Electricity
11.75,4.25,7.75,9.25,SmallOffice,NaturalGas
9,10.25,9.75,7.75,SmallOffice,NaturalGas
7.5,9.25,9.5,7.75,SmallOffice,NaturalGas
10.25,7.25,8.25,9,SmallOffice,Electricity
7.75,7.75,5.75,11,SmallOffice,NoHeating
6.25,10,13.25,5.25,SmallOffice,NaturalGas
10.75,6.75,14.25,9.25,SmallOffice,NaturalGas
7.5,9,11,9.5,SmallOffice,NaturalGas
12.25,4.75,8,11.25,MediumOffice,NaturalGas
12.25,6,10,10.5,SmallOffice,Electricity
8.25,9.75,12,11.5,SmallOffice,Electricity
10.75,6,9.25,6.75,MediumOffice,NaturalGas
7.75,10.5,7.25,11,SmallOffice,Electricity
9.5,6.5,9.5,9,MediumOffice,Electricity
11.75,8.75,9.25,11,SmallOffice,Electricity
12.25,7.25,5.75,10.75,SmallOffice,NaturalGas
6.25,8.5,14.25,9,SmallOffice,NaturalGas
7.5,12.25,10.5,11.25,SmallOffice,NaturalGas
6.25,8,10.5,5.75,SmallOffice,Electricity
10.25,7.75,8.5,11.25,MediumOffice,NaturalGas
9.25,6.75,15,6.25,SmallOffice,Electricity
9,6.75,9,10.25,SmallOffice,NaturalGas
7,8.25,8.5,9.5,SmallOffice,NaturalGas
6.25,8.5,17,5.25,SmallOffice,NaturalGas
9.5,9.25,12.25,5.75,SmallOffice,NaturalGas
10.5,7.25,9.5,10.75,SmallOffice,NaturalGas
9,5,7.25,10.75,SmallOffice,Electricity
10.5,6.75,7.5,10.5,SmallOffice,FuelOil
7.75,8.25,9.25,11.5,SmallOffice,Electricity
10.75,11.75,8,11.5,SmallOffice,Electricity
6.5,8.25,14.75,8.25,SmallOffice,NoHeating
8.75,8.5,9.25,9.75,SmallOffice,NaturalGas
10.75,5.75,7.5,9.75,SmallOffice,Electricity
14.25,5,9.75,10,SmallOffice,NaturalGas
6.75,10.25,6.5,11.25,SmallOffice,NaturalGas
7.25,8.5,13.75,9.75,MediumOffice,Electricity
11.25,7.75,11.25,6.25,SmallOffice,Electricity
9,9.25,6.5,11,SmallOffice,Electricity
9,6.5,18.75,3.5,MediumOffice,NoHeating
8,7.75,9.75,11.25,SmallOffice,NaturalGas
8.5,9,14,6.75,SmallOffice,NoHeating
7.5,10.75,14.5,5,SmallOffice,NaturalGas
8,6.75,10.25,6.25,SmallOffice,Electricity
6.25,11,8.25,10.75,SmallOffice,NaturalGas
12,4.25,12.5,5,LargeOffice,Electricity
11,6.75,9.5,7,SmallOffice,FuelOil
7.75,7.5,9.5,7.5,SmallOffice,Electricity
